Symbol,TimeFrame,Date,Close,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status
AAPL,Daily,2025-05-12,210.79,210.79,210.79,210.79,210.79,0.0,0.0,,,Neutral
AAPL,Daily,2025-05-13,212.93,211.86,211.21800000000002,210.99380952380952,210.9122857142857,0.08092602494255961,0.016185204988511923,10.152284263959421,10.152284263959421,Neutral Buy
AAPL,Daily,2025-05-14,212.33,212.09500000000003,211.44040000000004,211.1210657596372,210.99329795918368,0.12065929982792314,0.03708002395639417,10.083659334229306,10.13980700400849,Neutral
AAPL,Daily,2025-05-15,211.45,211.7725,211.44232000000002,211.15239283014793,211.0193952186589,0.11716679586697512,0.05309737833851036,9.949738288991835,10.105249055823645,Neutral
AAPL,Daily,2025-05-16,211.26,211.51625,211.40585600000003,211.1626411320386,211.03314406330696,0.1059213046323704,0.06366216359728237,9.777904719290948,10.04573190372679,Neutral
AAPL,Daily,2025-05-19,208.78,210.148125,210.88068480000004,210.9357229289873,210.90439297397512,0.002192297126527286,0.05136819030313136,9.517226859503305,9.949640077504338,Neutral Sell
AAPL,Daily,2025-05-20,206.86,208.5040625,210.07654784000005,210.54755884051232,210.6732848040337,-0.15200167838674764,0.010694216565155564,9.195465037365244,9.812517342933594,Neutral
AAPL,Daily,2025-05-21,202.09,205.29703125,208.47923827200006,209.74207704617783,210.18281138666035,-0.4531006438067133,-0.08206475550921821,8.749861476082907,9.619307185324377,Neutral
AAPL,Daily,2025-05-22,201.36,203.32851562500002,207.05539061760004,208.9437839941609,209.67865073599404,-0.7133857260680891,-0.2083289496209924,8.303686404177482,9.380103406934031,Neutral
AAPL,Daily,2025-05-23,195.27,199.2992578125,204.69831249408006,207.64151885185987,208.8552992653658,-1.1458648367218023,-0.3958361270411544,7.7184731818752805,9.077988820559712,Neutral
AAPL,Daily,2025-05-27,200.21,199.75462890625,203.80064999526405,206.93375515168273,208.36128216448773,-1.2833610425734712,-0.5733411101476178,7.311425014295745,8.756795401238989,Neutral
AAPL,Daily,2025-05-28,200.42,200.08731445312497,203.12451999621126,206.31339751818916,207.9074946122313,-1.3693619258482594,-0.7325452732877462,6.930468371851406,8.424735941350336,Neutral
AAPL,Daily,2025-05-29,199.95,200.01865722656248,202.48961599696904,205.707359659314,207.4527806343895,-1.4403312377134985,-0.8741024661728967,6.555864977838737,8.084941220711864,Neutral
AAPL,Daily,2025-05-30,200.85,200.43432861328125,202.16169279757526,205.24475397747457,207.07547888385298,-1.444994536000519,-0.9882808801384212,6.224895730063263,7.746751131503027,Neutral
AAPL,Daily,2025-06-02,201.7,201.06716430664062,202.0693542380602,204.90715836057223,206.76830866191852,-1.3992178553097572,-1.0704682751726886,5.931539035327545,7.41671256856203,Neutral
AAPL,Daily,2025-06-03,203.27,202.1685821533203,202.30948339044818,204.7512385167082,206.5684053098089,-1.2859406577808168,-1.1135627516943143,5.690667036105879,7.102886108115456,Neutral
AAPL,Daily,2025-06-04,202.82,202.49429107666015,202.41158671235854,204.56731103892648,206.35421072067695,-1.2001979177808106,-1.1308897849116135,5.443019950338127,6.80109226124685,Neutral Buy
AAPL,Daily,2025-06-05,200.63,201.56214553833007,202.05526936988684,204.1923290352192,206.02711296520968,-1.205433174761319,-1.1457984628815545,5.145476161963282,6.500071152286201,Neutral Sell
AAPL,Daily,2025-06-06,203.92,202.74107276916504,202.42821549590948,204.16639293662686,205.90670651005485,-1.0666561682148497,-1.1299700039482137,4.950764771635662,6.218379083077012,Neutral Buy
AAPL,Daily,2025-06-09,201.45,202.09553638458252,202.2325723967276,203.9076888474243,205.65203756662314,-1.0428179393828614,-1.1125395910351432,4.694102086538625,5.941237810979123,Neutral Sell
AAPL,Daily,2025-06-10,202.67,202.38276819229125,202.3200579173821,203.78981371909816,205.48163541995893,-0.9643748678316846,-1.0829066463944514,4.481990803965584,5.675920173340297,Neutral Buy
